image,caption,labels,scores
dataset_images/Dibujos/027 NY Times /02.jpg,a pile of old newspaper pieces on a white surface,arquitectura del desecho; cartografía lacerada,"{'arquitectura del desecho': 1, 'cartografía lacerada': 1}"
dataset_images/Dibujos/053 Mujer Sinú /01.jpg,a black and white photo of a man in a suit,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/049 Awa japón /01.jpg,a map of japan with a picture of the island,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/054 Hombre Sinú /01.jpg,a drawing of a woman in a black and white photo,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/01 Tolima/01.jpg,a map of the united states,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/024 El cuarto en astillas/01.jpg,a black and white drawing on a white paper,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/013 Cepíllo /01.jpg,a black and white drawing of a plant,limbo profanado,{}
dataset_images/Dibujos/055 Niña Sinú /01.jpg,a black and white drawing of a man,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/029 Europa/01.jpg,a book with a painting on it,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/051 Niño ancestral /IMG_3455.jpg,a black and white painting on a white wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/06 Mugre recogido ssobre cartón/010.jpg,a brown and white painting on a white wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/06 Mugre recogido ssobre cartón/011.jpg,a brown and black painting on a white wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/06 Mugre recogido ssobre cartón/06.jpg,a black and white painting with a black and white background,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/06 Mugre recogido ssobre cartón/07.jpg,a black and white photo of a man in a suit,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/06 Mugre recogido ssobre cartón/05.jpg,a black and white photo of a tree,limbo profanado,{}
dataset_images/Dibujos/06 Mugre recogido ssobre cartón/09.jpg,a black and white painting with a black circle,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/06 Mugre recogido ssobre cartón/08.jpg,a drawing of a square shape with a black background,limbo profanado,{}
dataset_images/Dibujos/025 Cuarto imantado /01.jpg,a painting with black and white paint on it,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/015 El niño de la casa/01.jpg,a piece of paper with a drawing of a face,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/01 Ártico /01.jpg,an old map of the arctic region,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/012 Los zapaticos de Ana maría /01.jpg,a black and white painting on a white background,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/019 El Tablón en rojo 2/01.jpg,a man is putting blood on a white shirt,mancha moral; evidencia forense; altar de la autoflagelación,"{'mancha moral': 1, 'evidencia forense': 1, 'altar de la autoflagelación': 1}"
dataset_images/Dibujos/019 El Tablón en rojo 2/03.jpg,a man is painting a red and white shirt,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/019 El Tablón en rojo 2/02.jpg,a red and white tie dye on a white shirt,limbo profanado,{}
dataset_images/Dibujos/046 Siona/01.jpg,a map of italy with a handwritten name,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/056 Antártica/antártica-2.jpg,a piece of cardboard with a map on it,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/048 mapa borrado con gasa /IMG_3373.jpg,a book with a painting on it,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/03 Sueño plata /01.jpg,a piece of paper with a drawing of a tree,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/050 Chibcha/01.jpg,a piece of art with a white frame,limbo profanado,{}
dataset_images/Dibujos/041 Pana - Proyecto costal/01.jpg,a drawing of a man with his legs exposed,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/041 Pana - Proyecto costal/02.jpg,a black and white photo of a horse,limbo profanado,{}
dataset_images/Dibujos/014 Peineta /01.jpg,a black brush with a white background,limbo profanado,{}
dataset_images/Dibujos/028 Le Figaro - Le Monde/01.jpg,two pieces of paper with different types of paper,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Dibujos/02 Calima /01.jpg,a black and white drawing of a man ' s face,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/02 Calima /03.jpg,a black and white painting of a woman,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/02 Calima /02.jpg,a black and white painting of a woman,altar de la autoflagelación,{'altar de la autoflagelación': 1}
dataset_images/Dibujos/02 Calima /04.jpg,a black and white drawing of a woman ' s face,umbral de la carne; cuerpo como arma,{}
dataset_images/Dibujos/05 Retrato anónimo/01.jpg,a drawing of a man ' s face with a beard,umbral de la carne; cuerpo como arma,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/07 A manera de emergencia /01.jpg",a glass aquarium with a bunch of fish in it,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/07 A manera de emergencia /03.jpg",a broken glass vase sitting on a white shelf,fe lacerada,{'fe lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/07 A manera de emergencia /02.jpg",a sculpture of a vase with a painting on it,altar de la autoflagelación,{'altar de la autoflagelación': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/011 Fragmentos de mugre /mugre_1987.jpg",four black and white cow spots on a white background,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/042 Puñal pañal /01.jpg",a painting of a large explosion of paint,altar de la autoflagelación,{'altar de la autoflagelación': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/03 Cauca/01.jpg",a piece of paper with a piece of paper on it,cartografía lacerada,{'cartografía lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/014 Dibujos privados /img910.jpg",a black and white drawing of a bunch of pine trees,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/014 Dibujos privados /img911.jpg",a black and white painting on a white wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/014 Dibujos privados /dibujos completos.jpg",two black and white photographs of a pattern,geometría del exterminio,{'geometría del exterminio': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/010 caribe /01.jpg",a vase with a broken glass vase on a table,fe lacerada,{'fe lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/015 Molotov /01.jpg",a brown piece of cardboard with a white outline of a jar,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/038 Puñado de tierra/01.jpg",a wall with bags hanging on it,topografía del grito,{'topografía del grito': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/038 Puñado de tierra/02.jpeg",a room with a wall of white paper on the walls,anomía habitacional; topografía del grito; cartografía lacerada,"{'anomía habitacional': 1, 'topografía del grito': 1, 'cartografía lacerada': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/02 Extensión /01.jpg",a room with a wall of white and brown paper,anomía habitacional; topografía del grito; cartografía lacerada,"{'anomía habitacional': 1, 'topografía del grito': 1, 'cartografía lacerada': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/02 Extensión /03.jpg",a large piece of wood is on display in a room,anomía habitacional; inocencia profanada,"{'anomía habitacional': 1, 'inocencia profanada': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/02 Extensión /02.jpg",a brown blanket hanging on a wall,topografía del grito,{'topografía del grito': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/029 Lección moral /01.jpg",a large black and white painting on a brick wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/029 Lección moral /02.jpg",a black and white photo of a tree,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/021 Dibujo textual /01.jpg",a red book cover with the words ' oe oe sese me y and,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/04 Objeto ofensiva /01.jpg",a drawing of a bottle with a black substance,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/04 Objeto ofensiva /02.jpg",a piece of paper with a black writing on it,topografía del grito; cartografía lacerada,"{'topografía del grito': 1, 'cartografía lacerada': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/012 Alcalde popular /01.jpg",a group of people hanging on a wall,topografía del grito,{'topografía del grito': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/012 Alcalde popular /03.jpg",a wall with a bunch of different objects on it,topografía del grito,{'topografía del grito': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/012 Alcalde popular /02.jpg",a bunch of shoes hanging on a wall,topografía del grito,{'topografía del grito': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/012 Alcalde popular /06.jpg",a wall with a bunch of different objects on it,topografía del grito,{'topografía del grito': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/012 Alcalde popular /07.jpg",a skateboard with a bunch of shoes on it,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/012 Alcalde popular /05.jpg",a pair of shoes hanging on a wall,topografía del grito,{'topografía del grito': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/012 Alcalde popular /04.jpg",a bunch of old shoes hanging on a wall,topografía del grito,{'topografía del grito': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/041 Venus Escolar (Múltiple)/01.jpg",a pair of black rubber boots with yellow soles,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/043 Tete /01.jpg",a piece of paper with a drawing of a man,cartografía lacerada,{'cartografía lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/043 Tete /02.jpg",a black and white photo of a face,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/027 In memoriam/01.jpg",a picture of a man with a beard and a picture of a woman,umbral de la carne; cuerpo como arma,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/027 In memoriam/02.jpg",a book with a bunch of paper on it,cartografía lacerada,{'cartografía lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/019 Emberá chamí /01.jpg",a wooden table,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/019 Emberá chamí /03.jpg",a room with a light shining on the wall,anomía habitacional; topografía del grito,"{'anomía habitacional': 1, 'topografía del grito': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/019 Emberá chamí /02.jpg",a light shining on a small display in a room,anomía habitacional; inocencia profanada,"{'anomía habitacional': 1, 'inocencia profanada': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/024 El niño de la casa 3 /01.jpg",a young boy standing in a yard,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/024 El niño de la casa 3 /03.jpg",a drawing of a man in a suit,umbral de la carne; cuerpo como arma,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/024 El niño de la casa 3 /02.jpg",a drawing of a man with a tie on,umbral de la carne; cuerpo como arma,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/035 Pañuelo de anacleto/01.jpg",a map of the area of the city of london,cartografía lacerada,{'cartografía lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/036 Payé (El coche de Tomás)/01.jpg",a sculpture of a baby stroller,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/036 Payé (El coche de Tomás)/02.jpg",a chair made out of cardboards,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/03 Bodegón de curitas/Bodegón de curitas.jpg",a painting on display in a museum,altar de la autoflagelación; inocencia profanada,"{'altar de la autoflagelación': 1, 'inocencia profanada': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/031 Clozapina Yotoco/01.jpg",a silver object on a black surface,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/018 Banderas sucias /01.jpg",a wall with many pieces of paper hanging on it,topografía del grito; cartografía lacerada,"{'topografía del grito': 1, 'cartografía lacerada': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/018 Banderas sucias /02.jpg",a bunch of torn papers hanging on a line,cartografía lacerada,{'cartografía lacerada': 2}
"dataset_images/Objetos, Intervenciones e Instalaciones/044 Villa pum-pum/01.jpg",a bunch of green leaves,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/05 Children´s room/01.jpg",a red spoon with a red plastic spoon,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/05 Children´s room/03.jpg",a toy dog is stuck into a wall,topografía del grito; inocencia profanada,"{'topografía del grito': 1, 'inocencia profanada': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/05 Children´s room/02.jpg",a room with a white wall and a white floor,anomía habitacional; topografía del grito,"{'anomía habitacional': 1, 'topografía del grito': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/05 Children´s room/05.jpg",a pink toy with a small dog on it,inocencia profanada,{'inocencia profanada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/05 Children´s room/04.jpg",a pink frame with a pink string on it,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/023 El niño de la casa 2 /01.jpg",a painting of a man with a beard,altar de la autoflagelación,{'altar de la autoflagelación': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/033 Flor de borrachero/01.jpg",a purple and black tie dye painting,altar de la autoflagelación,{'altar de la autoflagelación': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/037 Pijao (Maloca)/Pijao (maloca).jpg",a piece of paper with a house on it,anomía habitacional; cartografía lacerada; infierno doméstico,"{'anomía habitacional': 1, 'cartografía lacerada': 1, 'infierno doméstico': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/034 Oro y mugre /01.jpg",a piece of brown paper with a brown stripe,cartografía lacerada,{'cartografía lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/026 Colcha de mugre/01.jpg",a room with a large wall of rocks,anomía habitacional; topografía del grito,"{'anomía habitacional': 1, 'topografía del grito': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/028 Libretas de apuntes /014.jpg",a drawing of a woman holding a baby,umbral de la carne; cuerpo como arma,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/028 Libretas de apuntes /010.jpg",a book with a red cover and a black pen,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/028 Libretas de apuntes /011.jpg",a notebook with a pen and a drawing of a tooth,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/028 Libretas de apuntes /013.jpg",a drawing of a woman with a face in the corner of a wall,topografía del grito,{'topografía del grito': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/028 Libretas de apuntes /012.jpg",a drawing of a man on a horse,umbral de la carne; cuerpo como arma,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/028 Libretas de apuntes /01.jpg",a book with a picture of a moon on it,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/028 Libretas de apuntes /03.jpg",four open notebooks with a drawing of a man on them,umbral de la carne; cuerpo como arma,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/028 Libretas de apuntes /02.jpg",two notebooks with a white paper cover and a pen,cartografía lacerada,{'cartografía lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/028 Libretas de apuntes /06.jpg",a book with a piece of paper on it,cartografía lacerada,{'cartografía lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/028 Libretas de apuntes /07.jpg",a drawing of a man in a suit,umbral de la carne; cuerpo como arma,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/028 Libretas de apuntes /05.jpg",a book with a piece of paper on it,cartografía lacerada,{'cartografía lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/028 Libretas de apuntes /04.jpg",a book with a pile of paper on top of it,arquitectura del desecho; cartografía lacerada,"{'arquitectura del desecho': 1, 'cartografía lacerada': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/028 Libretas de apuntes /09.jpg",a drawing of a man ' s shirt,umbral de la carne; cuerpo como arma,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/028 Libretas de apuntes /08.jpg",a book with a cross on it,fe lacerada,{'fe lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/032 Aprendices de chicos malos/01.jpg",a wall with clothes hanging on it,topografía del grito,{'topografía del grito': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/032 Aprendices de chicos malos/02.jpg",a white shirt with a green writing on it,topografía del grito,{'topografía del grito': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/03 Objeto de cura/01.jpg",a map of central america with a blue background,cartografía lacerada,{'cartografía lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/0 Puñal/01.jpg",a painting on a wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/0 Puñal/03.jpg",a white object in a clear box,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/0 Puñal/02.jpg",a picture of a piece of wood on a wall,topografía del grito,{'topografía del grito': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/0 Puñal/05.jpg",a brown and white wall with a black and white pattern,topografía del grito; geometría del exterminio,"{'topografía del grito': 1, 'geometría del exterminio': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/0 Puñal/04.jpg",a picture of a brown and black frame,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/016 Ana maría /01.jpg",a pair of shoes made out of paper,cartografía lacerada,{'cartografía lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/01 Ataúd celeste/ataúd celeste-02.jpg",a piece of paper with a black background,cartografía lacerada,{'cartografía lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/045 Nube Gris/01.jpg",a large piece of art on a wall,topografía del grito,{'topografía del grito': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/045 Nube Gris/03.jpg",a black and white photo of a tree,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/045 Nube Gris/02.jpg",a close up of a piece of glass,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/046 Nube gris /DSC01251 copy.jpg",a black and white photo of a plant,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/046 Nube gris /DSC01246 copy.jpg",a close up of a piece of ice,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/046 Nube gris /DSC01216 copy.jpg",a large feather on a wall in a room,anomía habitacional; topografía del grito,"{'anomía habitacional': 1, 'topografía del grito': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/09 El valor moral del mugre/01.jpg",a bowl with fish in it sitting inside of a box,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/017 oro /01.jpg",a pair of shoes on a table,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/06 Diana /01.jpg",a black and white painting on a wall,topografía del grito; altar de la autoflagelación,"{'topografía del grito': 1, 'altar de la autoflagelación': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/013 Arrurru /01.jpg",a room with a chair and a chair in it,anomía habitacional,{'anomía habitacional': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /016.jpg",a small square in a small hole in the ground,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /017.jpg",a small square in a small hole,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /015.jpg",a man laying on the ground,umbral de la carne; cuerpo como arma,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /014.jpg",two men working in a large deep well dug pit,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /010.jpg",a man digging a hole in the ground,memoria exhumada,{'memoria exhumada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /011.jpg",a large rock in the middle of a dirt field,ancestralidad de fango,{'ancestralidad de fango': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /013.jpg",a large pile of rocks in a dirt field,arquitectura del desecho; ancestralidad de fango,"{'arquitectura del desecho': 1, 'ancestralidad de fango': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /012.jpg",a large pile of rocks in a dirt field,arquitectura del desecho; ancestralidad de fango,"{'arquitectura del desecho': 1, 'ancestralidad de fango': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /01.jpg",two men are standing in a trench,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /03.jpg",a piece of paper with a drawing of a house,anomía habitacional; cartografía lacerada; infierno doméstico,"{'anomía habitacional': 1, 'cartografía lacerada': 1, 'infierno doméstico': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /02.jpg",a square shaped box with a square in it,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /06.jpg",a tree in a park,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /07.jpg",a man is playing frc with a frc,inocencia profanada,{'inocencia profanada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /05.jpg",a drawing of a tree with branches and branches,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /04.jpg",a drawing of a man on a ladder,umbral de la carne; cuerpo como arma,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /09.jpg",a digger digging dirt,ancestralidad de fango; memoria exhumada,"{'ancestralidad de fango': 1, 'memoria exhumada': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /08.jpg",a man with long hair,umbral de la carne; cuerpo como arma,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/020 Inhumano /018.jpg",a small hole in the ground,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/039 Sudor pantalón /01.jpg",a piece of paper is on a white surface,cartografía lacerada,{'cartografía lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/040 Puñal /Payé Rosemberg Sandoval (4).jpg",a brown and white wall with a black and white pattern,topografía del grito; geometría del exterminio,"{'topografía del grito': 1, 'geometría del exterminio': 1}"
"dataset_images/Objetos, Intervenciones e Instalaciones/040 Puñal /Payé Rosemberg Sandoval (3).jpg",a picture of a brown and black frame,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/025 Chinchorro/01.jpg",a cake with frosting on it,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/025 Chinchorro/02.jpg",a black and white photo,limbo profanado,{}
"dataset_images/Objetos, Intervenciones e Instalaciones/022 El niño de la casa 1 /01.jpg",a piece of paper with a drawing of a face,cartografía lacerada,{'cartografía lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/030 Closapina Calima /01.jpg",a necklace made of paper strips,cartografía lacerada,{'cartografía lacerada': 1}
"dataset_images/Objetos, Intervenciones e Instalaciones/08 Casita de astillas/01.jpg",a piece of food that is on a table,limbo profanado,{}
dataset_images/Academia/02 Lucy/01.jpg,a drawing of a woman ' s head,umbral de la carne; cuerpo como arma,{}
dataset_images/Academia/01 Crisis/01.jpg,a drawing of a woman with a hat,umbral de la carne; cuerpo como arma,{}
dataset_images/Academia/03 Las sillas de Anacleto/01.jpg,a piece of paper with pink paint on it,cartografía lacerada; altar de la autoflagelación,"{'cartografía lacerada': 1, 'altar de la autoflagelación': 1}"
dataset_images/Academia/03 Las sillas de Anacleto/02.jpg,a black and white painting on a brown paper,cartografía lacerada; altar de la autoflagelación,"{'cartografía lacerada': 1, 'altar de la autoflagelación': 1}"
