id,obra,año,descripcion_01,descripcion_02,objetos
10,Eu-ropa,1999 - 2022,"Red borrosa y permeable hecha con retazos de ropa. Una especie de mapa roto y enfermo, hecho con ropa usada y extendida a las paredes del lugar y los espectadores.","araffes haciendo un ritual delante de una multitud de personas
alguien está sosteniendo un par de tijeras en su mano
hay un pedazo de papel blanco en el suelo con un montón de pedazos rotos
Hay un pastel blanco con un caballo encima.
araffes en una camisa blanca y pantalones está sosteniendo un objeto blanco
Hay un hombre que se arrodilla para cortar un pastel.
araffe esquilando una oveja frente a una multitud de personas
Hay un hombre de pie sobre una mujer tumbada en el suelo.
Hay un hombre sobre una mujer acostado en una cama.
hay un hombre arrodillado para cortar un pastel con un cuchillo
araffes están de pie en un escenario con un vestido blanco en él
hombre araffe sosteniendo un pedazo de papel blanco en frente de una multitud
araffe tendido en un colchón con un gran grupo de personas mirando","['cuerpo transportado', 'grupo de personas', 'tela', 'cuerpo acostado', 'multitud']
['cuerpo lesionado', 'cuerpo herido', 'sangrado del cuerpo', 'piso', 'espacio interior']
['cuerpo herido', 'cuerpo abandonado', 'cuerpo abandonado', 'cuerpo lesionado', 'cadáver']
['cuerpo lesionado', 'cuerpo herido', 'cuerpo abandonado', 'cuerpo abandonado', 'cuerpo envuelto']
['cuerpo transportado', 'multitud', 'tejido', 'tela', 'cuerpo de pie']
['multitud', 'grupo de personas', 'cuerpo sentado', 'cuerpo lesionado', 'piso']
['multitud', 'grupo de personas', 'cuerpo lesionado', 'cuerpo acostado', 'cuerpo sentado']
['tela', 'cuerpo transportado', 'cuerpo acostado', 'cadáver', 'cadáver']
['multitud', 'grupo de personas', 'cuerpo sentado', 'cuerpo transportado', 'cuerpo lesionado']
['grupo de personas', 'piso', 'tejido', 'tela', 'multitud']
['cuerpo transportado', 'tela', 'cuerpo de pie', 'cuerpo envuelto', 'cuerpo cubierto']
['cuerpo transportado', 'tela', 'cuerpo de pie', 'tejido', 'grupo de personas']
['cuerpo acostado', 'cadáver', 'cadáver', 'cuerpo lesionado', 'cuerpo herido']"
11,Rose-Rose,2001,"Vestido de blanco, sentado en un metate precolombino, descalzo y con un gran ramo de espinosas y frescas rosas en mis manos, que empuñé brutalmente una y otra vez hasta herirme y sangrar; confundiéndose luego la caída obsesiva de tallos rotos, hojas sueltas y pétalos rojos prensados fuertemente con mis manos con algunas gotas de sangre cayendo sobre el suelo blanco. Se supone que quedaron entonces laceradas mis manos con dibujos azarosos hechos de rasguños, a manera de una ilegible, incierta y enferma cartografía de dolor.","hay una rosa que está en la mesa con sangre en ella
hay una rosa que está sentada en una mesa con sangre
hay un manojo de rosas rojas en el suelo con pétalos
hay muchas rosas rojas en la mesa con un cuchillo
hay una rosa que se ha dejado en el suelo
hay un montón de rosas rojas en una mesa con un cuchillo
hay muchas rosas rojas en la mesa con hojas verdes
hay una rosa que está en el suelo con pétalos
hay un hombre sentado en los escalones con rosas en el suelo
hay un hombre sentado en los escalones con un manojo de flores
hay un hombre sentado en el suelo con rosas en el suelo
hay un hombre sentado en los escalones con un ramo de flores
hay un hombre sentado en los escalones con un manojo de flores
hombre arafed sentado en el suelo con un montón de rosas
araffe haciendo un espectáculo de rosas delante de una multitud
hay una rosa que está en el suelo con un cuchillo
hay un hombre arrodillado para tomar una foto de un arreglo floral
hay un primer plano de un montón de rosas rojas
hay muchas rosas rojas esparcidas en el suelo en el suelo
hay muchas rosas rojas en la mesa con hojas verdes","['sangrado del cuerpo', 'mancha de sangre', 'cuerpo herido', 'herida', 'cuerpo lesionado']
['sangrado del cuerpo', 'cuerpo herido', 'mancha de sangre', 'cuerpo lesionado', 'sangre']
['pared', 'cuerpo herido', 'cuerpo lesionado', 'piso', 'cuerpo acostado']
['pared', 'sangrado del cuerpo', 'cuerpo herido', 'cuerpo acostado', 'herida']
['sangrado del cuerpo', 'cuerpo herido', 'mancha de sangre', 'cuerpo abandonado', 'cuerpo abandonado']
['cuerpo herido', 'sangrado del cuerpo', 'mancha de sangre', 'herida', 'cuerpo abandonado']
['pared', 'sangrado del cuerpo', 'cuerpo herido', 'materia orgánica', 'mancha de sangre']
['sangrado del cuerpo', 'cuerpo herido', 'mancha de sangre', 'herida', 'cuerpo lesionado']
['piso', 'cuerpo en el suelo', 'espacio público', 'cuerpo acostado', 'cadáver']
['espacio público', 'multitud', 'cuerpo transportado', 'grupo de personas', 'materia orgánica']
['piso', 'espacio público', 'sangrado del cuerpo', 'cuerpo en el suelo', 'cuerpo inmóvil']
['sangrado del cuerpo', 'cuerpo herido', 'mancha de sangre', 'cuerpo lesionado', 'tela']
['cuerpo transportado', 'espacio público', 'cuerpo lesionado', 'cuerpo en el suelo', 'mujer']
['piso', 'espacio público', 'cuerpo herido', 'mancha de sangre', 'cuerpo en el suelo']
['multitud', 'espacio público', 'grupo de personas', 'piso', 'tejido']
['cuerpo herido', 'sangrado del cuerpo', 'herida', 'mancha de sangre', 'cuerpo abandonado']
['espacio público', 'cuerpo en el suelo', 'piso', 'cadáver', 'cadáver']
['materia orgánica', 'cuerpo herido', 'pared', 'sangrado del cuerpo', 'herida']
['pared', 'cuerpo en el suelo', 'sangrado del cuerpo', 'cuerpo acostado', 'cuerpo herido']
['pared', 'sangrado del cuerpo', 'piso', 'tela', 'cuerpo herido']"
12,Mugre UN,2003,"En el suelo, a gran escala, con la ayuda de una plantilla y en una de las salas de exhibición del Centro Cultural de Cali, dibujé de antemano, el logotipo de la ONU con mugre en polvo, que recogí allí, extendiéndolo y disolviéndolo luego con la presión del agua de una manguera enrollada y anudada con una sábana celeste a una de las esquinas de la sala. Con la sábana refregué el suelo ya fangoso y dibujé con ella sobre las paredes de la sala. Para esta performance estuve protegido con botas pantaneras y delantal de caucho blanco sobre ropa blanca y oscura. Este sello en mugre de las Naciones Unidas quedó reventado sobre las paredes y el piso húmedo del Centro Cultural convirtiéndose en una instalación impenetrable y sólo perceptible a través de unas puertas de vidrio transparentes.","arafed imagen de un piso circular con un mapa del mundo en él
Hay un hombre de pie en una habitación con una bolsa de basura
arafed imagen de un piso circular con un mapa del mundo
Hay un hombre de pie en una habitación con un paraguas azul
hay un hombre que se inclina para poner una sábana en el suelo
Hay un hombre que está de pie en una habitación con una manguera
Hay dos hombres que están pintando una pared juntos
pintar una pared con un hombre y un perro en una habitación
hay un hombre que está limpiando el suelo con una fregona
Hay un hombre que está de pie en una habitación con un paño azul
hay un hombre que está de pie en una habitación con una manta","['piso', 'cuerpo en el suelo', 'cuerpo arrastrado', 'espacio interior', 'habitación vacía']
['piso', 'habitación', 'plástico', 'tela', 'habitación vacía']
['piso', 'espacio interior', 'cuerpo en el suelo', 'espacio urbano', 'tierra']
['cuerpo lesionado', 'cuerpo herido', 'cadáver', 'cadáver', 'cuerpo acostado']
['cuerpo en el suelo', 'cuerpo acostado', 'cuerpo herido', 'cuerpo lesionado', 'piso']
['piso', 'cuerpo lesionado', 'cuerpo herido', 'cuerpo en el suelo', 'materia orgánica']
['pared', 'papel', 'interacción', 'líquido', 'espacio interior']
['pared', 'tela', 'líquido', 'tejido', 'mancha']
['cuerpo de pie', 'piso', 'cuerpo herido', 'mancha de sangre', 'cuerpo lesionado']
['cuerpo herido', 'cuerpo abandonado', 'cuerpo abandonado', 'cuerpo en el suelo', 'cuerpo lesionado']
['piso', 'tela', 'cuerpo en el suelo', 'tejido', 'cuerpo inmóvil']"
13,Arrozudo. (Versión Caracas),2005 - 2006,Bandera de Estados Unidos construida con arroz directamente sobre el asfalto.,"hay un edificio rosa en el lado de la carretera
alguien de pie en una acera con una estrella en la acera
alguien se está lavando los pies con una esponja en una calle
gente de pie en la acera con un hombre barriendo la calle","['calle', 'espacio público', 'tierra', 'pared', 'cuerpo lesionado']
['mancha de sangre', 'cuerpo herido', 'cuerpo lesionado', 'piso', 'herida']
['líquido', 'cuerpo en el suelo', 'materia orgánica', 'mancha de sangre', 'manos']
['espacio público', 'cuerpo en el suelo', 'calle', 'mancha de sangre', 'cadáver']"
14,Arrozudo. (Versión Bogotá),2018,Arroz y plantilla.,"hay una gran bandera americana en el suelo en una habitación
suelo de madera arafed con estrellas blancas en él y una alfombra blanca","['piso', 'espacio interior', 'pared', 'habitación vacía', 'espacio urbano']
['pared', 'piso', 'mancha', 'mancha de sangre', 'tela']"
15,Patria,2012,"Mi ritual comienza vestido de blanco, descalzo, rapado, con muy poca luz, arrastrando la historia viva anónima sobre el suelo de la antigua estación del ferrocarril. Una historia de una vida desgarradora, dolorosa sin normas y sin límites, de alguna manera eterna, Halada y condensada en un envoltorio en forma de lliclla de sobrevivencia contenida con un colchón, una mesa de madera, un taburete, una madre desplazada por la violencia y una caja de cartón con el que atravieso el espacio, froto el piso, lo rasgo y lo vacío, para luego, izar uno a uno los objetos y a ella. La caja de cartón es tratada como caja de luz iluminando el espacio con un texto titilante irradiado desde adentro por un cabo de vela encendido que anuda una anti-escena asistida de dolor, piedad y misterio.","hay una caja con una luz dentro de ella en el suelo
sombras de la silla y la escalera en la pared
hay dos piezas de arte colgando del techo
arafed imagen de un hombre en una habitación con una silla y una caja
están en una habitación con una caja y un hombre en el suelo
hombre arafed haciendo un pie de mano en un poste con una mujer
hombre arafed colgando boca abajo en una cuerda mientras otro hombre mira
imagen arafed de un hombre arrodillado delante de una caja
hombre arafed sosteniendo una sábana en una habitación con una cuerda
personas sentadas en una habitación viendo a un hombre de pie frente a una multitud
hay un hombre tendido en el suelo con una caja en el fondo
hombre arafed en camisa blanca y pantalones bronceados lijando una silla de madera
Hay dos personas que están sentadas en una cama en una habitación
hay una persona sentada en una silla cubierta con una sábana
hombre arafed en una camisa blanca balanceando una cuerda en una habitación
Hay un hombre que sostiene un zapato en su mano.","['basura', 'cuerpo inmóvil', 'basura', 'espacio urbano', 'cuerpo humano']
['pared', 'cuerpo de pie', 'habitación vacía', 'cuerpo sentado', 'espacio urbano']
['cuerpo herido', 'cuerpo arrastrado', 'cuerpo lesionado', 'cuerpo abandonado', 'cuerpo abandonado']
['espacio interior', 'habitación vacía', 'habitación', 'cuerpo arrastrado', 'espacio urbano']
['cuerpo en el suelo', 'cuerpo arrastrado', 'cuerpo herido', 'piso', 'cuerpo lesionado']
['cuerpo de pie', 'cuerpo transportado', 'cuerpo arrastrado', 'cuerpo herido', 'espacio público']
['tejido', 'cuerpo transportado', 'cuerpo arrastrado', 'tela', 'cuerpo herido']
['piso', 'espacio interior', 'tejido', 'habitación', 'habitación vacía']
['tejido', 'cuerpo arrastrado', 'tela', 'cuerpo acostado', 'cuerpo envuelto']
['multitud', 'espacio interior', 'espacio público', 'grupo de personas', 'piso']
['cuerpo en el suelo', 'cuerpo acostado', 'cuerpo arrastrado', 'cuerpo herido', 'cadáver']
['cuerpo de pie', 'cuerpo arrastrado', 'tejido', 'espacio interior', 'piso']
['cuerpo arrastrado', 'cuerpo herido', 'espacio interior', 'cuerpo sentado', 'cuerpo en el suelo']
['cuerpo arrastrado', 'cuerpo acostado', 'cuerpo herido', 'cuerpo abandonado', 'cuerpo abandonado']
['cuerpo arrastrado', 'espacio interior', 'habitación vacía', 'cuerpo herido', 'pared']
['cuerpo de pie', 'cuerpo arrastrado', 'tejido', 'cuerpo transportado', 'cuerpo herido']"
16,Toribío,2015,"Desde finales de los años setenta, siendo estudiante de arte aún, me interesó recoger de lugares marginales en conflicto, juguetes, zapatos, ropa, cobijas, además, tomar de fosas comunes los huesos que ahora reduzco a polvo y ceniza adherido a una sábana blanca, convertida de antemano en constelación y ataviada para esta ocasión como ruana, poncho o bandera de la pobreza, construida con miles de esquirlas de hueso de colombianos indígenas y campesinos asesinados y sepultados en sus parcelas. En esta pieza performática voy vestido con la bandera– ruana, que luego izo sobre una astilla de madera empotrada en la pared, después me despojo de una camisa ungida en el polvo de tierra de Toribío Cauca, que retuerzo y sacudo sobre la bandera para imantar el lugar.","hay un hombre que está de pie sobre un pedazo de tela
hay un hombre de pie delante de una cortina con una huella de pájaro en ella
hay un hombre colgando del techo con una patineta
suelo de madera arafed con una mancha de pintura negra en él
hay una habitación con una cortina y un suelo de madera","['tejido', 'cuerpo acostado', 'cuerpo transportado', 'tela', 'espacio interior']
['tela', 'tejido', 'cuerpo de pie', 'habitación vacía', 'cuerpo herido']
['pared', 'espacio interior', 'cuerpo de pie', 'tejido', 'papel']
['piso', 'cuerpo en el suelo', 'pared', 'cuerpo herido', 'tierra']
['cuerpo cubierto', 'espacio interior', 'cuerpo envuelto', 'habitación vacía', 'tela']"
17,La pobreza me emputa,2022,"Durante el marco de la feria de arte ARTBO 2022 en Bogotá, tuve la oportunidad de matar un muerto, lanzando desde el techo de la Galería Casas-Riegner a Dios: una representación en yeso y a escala natural de Jesucristo, convertida contra el piso en una constelación de esquirlas y polvo de escayola. Acto seguido, escarbo y recojo algunas esquirlas, dibujando con una de ellas sobre una ventana forrada de antemano en papel de lija. El cuerpo de Cristo tenía en todo su cuerpo lacerado textos como: dolor, violación, odio, hambre o incertidumbre, que nos señalan problemas históricos esenciales alimentados por la invención de ideologías, nuestra familia y el Estado.","hay un plátano que se ha dejado en el suelo
hay un estandarte que lee mano de obra me enpita en la parte delantera de un edificio
Hay una pancarta en el lado de un edificio que dice, "" ventanas rotas ""
hay un pedazo de papel roto en el suelo
hay una pared roja con un alféizar de ventana negro y un alféizar de ventana blanco
hay una señal en la pared que dice que no es un buen momento para estar en la ciudad
hay un gran edificio de ladrillo con una señal en la parte delantera
hay una estatua de un hombre colgando de un edificio
mujer arafed tumbada en el suelo con un televisor roto
mujer arafe con una envoltura de plástico alrededor de su cuerpo y una señal que dice violación
arafed torso macho con un pedazo de papel pegado a él
Hay un hombre que está tirado en el suelo con un zapato roto
pierna arafeada con una señal en ella puesta en el suelo","['cuerpo herido', 'cuerpo abandonado', 'cuerpo abandonado', 'cuerpo lesionado', 'cuerpo en el suelo']
['cuerpo lesionado', 'espacio público', 'cuerpo herido', 'cuerpo en el suelo', 'espacio urbano']
['espacio público', 'espacio urbano', 'cuerpo herido', 'lugar abandonado', 'cuerpo abandonado']
['cuerpo en el suelo', 'cuerpo abandonado', 'cuerpo abandonado', 'cuerpo herido', 'pared']
['pared', 'piso', 'tierra', 'mancha de sangre', 'espacio urbano']
['espacio público', 'tejido', 'papel', 'plástico', 'espacio urbano']
['papel', 'piso', 'espacio urbano', 'espacio interior', 'pared']
['espacio urbano', 'pared', 'cuerpo de pie', 'mujer', 'espacio público']
['cuerpo en el suelo', 'cuerpo abandonado', 'cuerpo abandonado', 'cuerpo herido', 'cuerpo lesionado']
['lesión', 'cuerpo cubierto', 'tejido', 'mujer', 'piel']
['cuerpo humano', 'cuerpo herido', 'tejido', 'cuerpo lesionado', 'tela']
['cuerpo en el suelo', 'cuerpo herido', 'cuerpo lesionado', 'cuerpo abandonado', 'cuerpo abandonado']
['cuerpo abandonado', 'cuerpo abandonado', 'cuerpo en el suelo', 'cuerpo herido', 'cadáver']"
18,Caudillo (Con higuerilla),1997 - 2007,"Cubierto de manera impecable con ropa negra y caqui, y en un lugar marginal de Jamundí, recogí una a una, hojas de higuerilla que anillé en forma de ramo con una banda plástica y me lo uncí al cuello, encontrándome sentado en una silla plegable.","Hay un hombre que está de pie en la hierba con un palo
Hay un hombre sentado en una silla sosteniendo una planta
alguien está sosteniendo un montón de grandes plantas verdes en sus manos
hombre arafed sosteniendo una planta grande en un campo de plantas verdes","['materia orgánica', 'cuerpo de pie', 'cuerpo transportado', 'pared', 'grupo de personas']
['materia orgánica', 'espacio público', 'cuerpo sentado', 'hombre', 'persona']
['materia orgánica', 'cuerpo transportado', 'pared', 'cuerpo arrastrado', 'interacción']
['materia orgánica', 'hombre', 'cuerpo de pie', 'pared', 'cabeza']"
19,Asfalto,1987 - 2007,Objetos (pequeños juguetes deteriorados) introducidos de manera obsesiva y en fila dentro de las fisuras del asfalto de la Vía Panamericana del Sur.,"Hay dos camiones de juguete que están sentados uno al lado del otro
Hay un hombre caminando por el camino con una mochila
Hay un hombre arrodillado al lado del camino.
Hay un hombre arrodillado al lado del camino.
alguien está recogiendo un pedazo de fruta de una línea de coches de juguete
hay un hombre arrodillado en el suelo con una patineta
hay muchos trenes de juguete que están alineados en el lado de la carretera
alguien está recogiendo una flor del suelo con un par de tijeras
hay muchos juguetes pequeños en el suelo al lado de la calle
Alguien está recogiendo un coche de juguete desde el suelo","['cuerpo en el suelo', 'cuerpo abandonado', 'cuerpo abandonado', 'cuerpo lesionado', 'cuerpo herido']
['calle', 'tierra', 'cuerpo lesionado', 'cuerpo abandonado', 'cuerpo abandonado']
['tierra', 'materia orgánica', 'cuerpo en el suelo', 'piso', 'calle']
['calle', 'cuerpo herido', 'cuerpo lesionado', 'tierra', 'lesión']
['cuerpo lesionado', 'cuerpo en el suelo', 'cuerpo herido', 'lesión', 'cuerpo abandonado']
['cuerpo en el suelo', 'tierra', 'materia orgánica', 'cuerpo lesionado', 'cuerpo abandonado']
['cuerpo en el suelo', 'cuerpo abandonado', 'cuerpo abandonado', 'tierra', 'materia orgánica']
['cuerpo en el suelo', 'cuerpo lesionado', 'cuerpo herido', 'materia orgánica', 'tierra']
['cuerpo en el suelo', 'cuerpo abandonado', 'cuerpo abandonado', 'cuerpo lesionado', 'cuerpo herido']
['cuerpo lesionado', 'cuerpo en el suelo', 'cuerpo herido', 'cuerpo abandonado', 'cuerpo abandonado']"
20,Caudillo (Con machete),2000 - 2007,"De pies, con indumentaria luctuosa y con ademán de foto para documento, posé sobre mi pecho uno de los pocos objetos llevados consigo por mis padres durante nuestro desplazamiento forzado y padecido en 1960 de la vereda Pedro Sánchez en Obando hacia Cali.",hombre arafed en una camisa blanca y corbata de pie delante de un fondo negro,"['cuerpo de pie', 'tela', 'cuerpo lesionado', 'cuerpo herido', 'persona']"
21,Caudillo (Con lengua),2000 - 2007,"Vertical (con una piscina de formol atestada de cadáveres humanos como fondo), posé con ropa negra y con una lengua de un cadáver humano anónimo enganchada a mi cuello.","hombre arafed con cabeza calva y corbata en camisa negra
Hay un hombre usando una camisa negra y una corbata.","['cabeza', 'tela', 'cuerpo lesionado', 'cuerpo herido', 'cuerpo de pie']
['persona', 'cuerpo de pie', 'tela', 'cabeza', 'cuerpo lesionado']"
22,Amanecer de fango,2000 - 2007,"Frente a la casa de mis padres, un indigente adulto procedió a lavarse la cara, los brazos y las manos en un charco de agua fango para reiniciar su jornada de trabajo.","Hay un hombre caminando por la calle con un carro
hombre araffe beber agua de una olla en la calle
hombre arafed empujando un carro con una gran sábana en él
hombre arafed empujando un carro con una gran roca en él
hombre araffe lavándose las manos en un charco de agua
hombre araffe apoyado sobre una rueda en el lado de una carretera","['calle', 'espacio público', 'espacio urbano', 'cuerpo de pie', 'persona']
['barro', 'espacio público', 'cuerpo sucio', 'calle', 'líquido']
['cuerpo transportado', 'basura', 'calle', 'persona', 'cuerpo acostado']
['cuerpo transportado', 'cuerpo herido', 'cuerpo arrastrado', 'cuerpo lesionado', 'cuerpo envuelto']
['barro', 'cuerpo sucio', 'materia orgánica', 'suciedad', 'cuerpo lesionado']
['barro', 'cuerpo sucio', 'espacio público', 'calle', 'suciedad']"
23,Ambulancia I,2000 - 2007,"Pequeño atentado terrorista, provocado sobre mi hombro con una ambulancia de juguete en llamas. Para esta performance tuve camisa oscura en un espacio cerrado.","Hay un hombre con un camión de bomberos sobre un fondo negro
hombre arafed con un cigarrillo en la boca y un coche de juguete en el hombro
Hay un hombre que sostiene un encendedor en su mano","['sangre', 'persona', 'hombre', 'sangrado del cuerpo', 'mancha']
['sangre', 'persona', 'hombre', 'cabeza', 'sangrado del cuerpo']
['hombre', 'persona', 'sangre', 'cuerpo humano', 'sangrado del cuerpo']"
24,Venus,2000 - 2007,"Performance hecha caminando, sobre uno de los bordes del asfalto de la Vía Panamericana Sur, con uno de mis pies (el derecho) calzado con una bota pantanera desplazándose por el monte, y el otro pie con la otra bota pantanera puesta y convertida de antemano en zapato escolar para niña voy pisando el asfalto.","Hay un hombre caminando por el camino con un bastón
hay una persona de pie en la acera con zapatos negros
Hay un hombre de pie en el lado de la carretera","['cuerpo de pie', 'materia orgánica', 'tierra', 'barro', 'calle']
['pies', 'lesión', 'tierra', 'barro', 'cuerpo lesionado']
['calle', 'cuerpo de pie', 'tierra', 'tela', 'piso']"
25,Brigada de corrección moral (Fuego),2000 - 2007,"Pequeño atentado terrorista, provocado con un carrito encendido en medio de una fila de espera, durante el almuerzo de los estudiantes de una universidad pública de Cali.",,
26,Corona de miedo,1987 - 2007,"Guirnalda hecha de juguetes estropeados, sucios y rotos (caballo, silla, cuna, etc.) atravesados por un círculo de acero y colocada sobre mi cabeza tusa (para esta ocasión estuve vestido de blanco, descalzo, y con las manos atrás en un espacio cerrado y oscuro).",hombre arafed con un montón de objetos surtidos en su cabeza,"['plástico', 'basura', 'persona', 'hombre', 'cabeza']"
27,Invierno - infierno,2000 - 2007,Lonas en diferentes formatos sumergidas en lodo.,"hay un hombre arrodillado en el barro con una tabla blanca
Hay un hombre sosteniendo un pedazo de metal oxidado en un camino de tierra
alguien se está inclinando para poner un pedazo de tierra en un cuadrado","['materia orgánica', 'barro', 'pared', 'papel', 'tierra']
['mancha de sangre', 'cuerpo herido', 'materia orgánica', 'cuerpo abandonado', 'cuerpo abandonado']
['barro', 'materia orgánica', 'piso', 'suciedad', 'cuerpo sucio']"
28,Ola de algodón,2000 - 2007,"Colchoncito de juguete, utilizado como tapaboca y luego ligeramente enrollado y convertido en ola","hombre arafed con una cara de rayas azul y blanco que cubre su cara
hay un hombre sosteniendo una corbata y un bolsillo en su mano
hombre arafed en una camisa blanca y una máscara de la cara de rayas azul y blanco
hombre arafed en camisa blanca sosteniendo una corbata de rayas azul y blanco","['tela', 'tejido', 'cuerpo envuelto', 'plástico', 'papel']
['cuerpo transportado', 'tela', 'manos', 'cuerpo lesionado', 'cuerpo expuesto']
['tela', 'tejido', 'cuerpo envuelto', 'pared', 'hombre']
['tela', 'tejido', 'cuerpo transportado', 'cuerpo envuelto', 'manos']"
29,Brigada de corrección moral (Ración elemental),2000 - 2007,"Sentado en la banca en donde permanece un anciano esperando la muerte, colgué en mi cuello un pequeño mini-mercado de sobrevivencia (en forma de collar) entregado después al anciano.","araffy hombre sentado en un banco con un montón de bolsas de comida
son dos hombres de pie fuera de un edificio hablando
hombre arafed sosteniendo un manojo de comida empaquetada en frente de una puerta
Hay un hombre fuera de un edificio sosteniendo una bolsa de comida.","['cuerpo transportado', 'tela', 'tejido', 'persona', 'manos']
['cuerpo transportado', 'grupo de personas', 'interacción', 'persona', 'cuerpo lesionado']
['plástico', 'basura', 'basura', 'materia orgánica', 'papel']
['persona', 'materia orgánica', 'calle', 'cuerpo transportado', 'tela']"
30,Sur,2000 - 2007,"Mapa imposible, arrugado y convertido en bola de mugre.","hombre arafed sosteniendo un mapa del mundo en sus manos
hombre arafed en camisa blanca cortando un pedazo de pastel con un cuchillo","['papel', 'hombre', 'materia orgánica', 'cabeza', 'tierra']
['manos', 'mano', 'persona', 'hombre', 'tela']"
